,0
0,8617.1669921875
1,8656.2060546875
2,8389.72265625
3,8532.916015625
4,8477.5048828125
5,8330.0390625
6,8525.06640625
7,8580.921875
8,8539.822265625
9,8321.5869140625
10,8720.73046875
11,8479.6318359375
12,8737.5791015625
13,8658.78125
14,8602.5986328125
15,8512.779296875
16,8692.826171875
17,8652.5380859375
18,8669.5908203125
19,8384.2998046875
20,8410.2353515625
21,8552.1357421875
22,8622.603515625
23,8516.298828125
24,8316.4404296875
25,8518.5439453125
26,8165.65966796875
27,8500.3505859375
28,8620.125
29,8192.8671875
30,8220.611328125
31,8448.2529296875
32,8497.451171875
33,8505.564453125
34,8574.35546875
35,8362.859375
36,8460.8125
37,8594.7998046875
38,8302.71484375
39,8278.6220703125
40,8593.2734375
41,8459.1396484375
42,8315.54296875
43,8618.18359375
44,8633.017578125
45,8387.978515625
46,8498.9794921875
47,8660.85546875
48,8750.552734375
49,8644.369140625
50,8512.5927734375
51,8510.787109375
52,8540.6220703125
53,8520.189453125
54,8536.775390625
55,8308.33984375
56,8493.4013671875
57,8442.671875
58,8463.5322265625
59,8359.8740234375
60,8144.96044921875
61,8444.0673828125
62,8500.78515625
63,8329.529296875
64,8309.89453125
65,8437.1162109375
66,8390.431640625
67,8367.1806640625
68,8458.599609375
69,8490.0498046875
70,8547.78515625
71,8539.4580078125
72,8468.259765625
73,8533.4296875
74,8261.8173828125
75,8743.5283203125
76,8338.5205078125
77,8403.87109375
78,8551.09765625
79,8223.8193359375
80,8377.3525390625
81,8460.748046875
82,8436.751953125
83,8481.318359375
84,8057.3994140625
85,8400.998046875
86,8657.33203125
87,8435.265625
88,8804.3369140625
89,8289.1103515625
90,8339.8984375
91,8766.966796875
92,8618.5595703125
93,8373.0849609375
94,8514.2724609375
95,8420.0791015625
96,8583.8212890625
97,8375.1484375
98,8332.5087890625
99,8527.1220703125
100,8611.5234375
101,8263.5810546875
102,8615.390625
103,8322.390625
104,8265.1474609375
105,8343.2939453125
106,8608.15234375
107,8335.1318359375
108,8646.7119140625
109,8472.7822265625
110,8081.15771484375
111,8420.45703125
112,8464.90234375
113,8563.951171875
114,8414.5546875
115,8380.990234375
116,8231.09765625
117,8325.1796875
118,8424.0185546875
119,8346.40625
120,8463.0849609375
121,8728.1650390625
122,8594.3056640625
123,8528.73046875
124,8440.8798828125
125,8523.0126953125
126,8452.3759765625
127,8503.0771484375
128,8542.5078125
129,8374.08203125
130,8530.8642578125
131,8227.1591796875
132,8427.4853515625
133,8671.8271484375
134,8576.0576171875
135,8210.720703125
136,8486.4404296875
137,8486.2802734375
138,8507.328125
139,8536.47265625
140,8503.3857421875
141,8477.1826171875
142,8437.1650390625
143,8498.0048828125
144,8426.3818359375
145,8430.6083984375
146,8339.9521484375
147,8319.353515625
148,8547.9404296875
149,8537.529296875
150,8474.263671875
151,8608.3291015625
152,8480.5087890625
153,8520.65625
154,8437.755859375
155,8353.7861328125
156,8480.6474609375
157,8452.82421875
158,8552.6162109375
159,8359.6884765625
160,8392.9208984375
161,7944.21240234375
162,8311.7333984375
163,8446.0673828125
164,8393.6962890625
165,8183.4453125
166,8621.2666015625
167,8350.0537109375
168,8771.939453125
169,8325.212890625
170,8541.353515625
171,8527.3515625
172,8330.6845703125
173,8200.185546875
174,8181.5205078125
175,8489.4775390625
176,8489.580078125
177,8526.06640625
178,8204.98046875
179,8604.6376953125
180,8419.00390625
181,8477.8984375
182,8301.2587890625
183,8394.4638671875
184,8486.5517578125
185,8595.869140625
186,8284.07421875
187,8571.1494140625
188,8289.1396484375
189,8813.9609375
190,8531.0205078125
191,8234.7529296875
192,8524.0693359375
193,8555.69140625
194,8406.7236328125
195,8407.6474609375
196,8460.3984375
197,8274.0107421875
198,8667.462890625
199,8156.24072265625
200,8349.2568359375
201,8511.849609375
202,8398.5078125
203,8711.43359375
204,8409.2939453125
205,8469.083984375
206,8504.4521484375
207,8625.4794921875
208,8490.9033203125
209,8203.7119140625
210,8100.30029296875
211,8424.5595703125
212,8362.7216796875
213,8413.75390625
214,8231.9970703125
215,8293.8876953125
216,8603.8193359375
217,8577.5361328125
218,8133.2275390625
219,8248.4697265625
220,8380.4443359375
221,8281.3720703125
222,8394.73828125
223,8409.384765625
224,8607.453125
225,8327.4453125
226,8531.5302734375
227,8489.232421875
228,8625.8623046875
229,8338.921875
230,8704.201171875
231,8505.294921875
232,8327.3955078125
233,8395.2685546875
234,8449.8388671875
235,8594.734375
236,8476.0244140625
237,8395.5185546875
238,8384.056640625
239,8555.8740234375
240,8376.9580078125
241,8226.6552734375
242,8631.7705078125
243,8388.224609375
244,8440.7314453125
245,8586.958984375
246,8407.662109375
247,8394.111328125
248,8521.53125
249,8398.1484375
250,8272.1611328125
251,8313.2177734375
252,8234.8857421875
253,8565.7138671875
254,8381.564453125
255,8376.62109375
256,8415.54296875
257,8803.49609375
258,8017.0673828125
259,8439.359375
260,8297.0166015625
261,8497.724609375
262,8703.6953125
263,8362.4013671875
264,8648.3876953125
265,8453.6611328125
266,8511.33984375
267,8350.3837890625
268,8598.4013671875
269,8401.5029296875
270,8357.98046875
271,8496.19140625
272,8396.9365234375
273,8509.5029296875
274,8420.46875
275,8199.775390625
276,8336.0439453125
277,8514.6875
278,8325.8994140625
279,8415.931640625
280,8667.1298828125
281,8645.8623046875
282,8231.4384765625
283,8538.6416015625
284,8501.41015625
285,8509.1298828125
286,8381.802734375
287,8710.560546875
288,8504.41015625
289,8221.3017578125
290,8338.6572265625
291,8441.978515625
292,8612.5751953125
293,8364.4580078125
294,8272.0654296875
295,8369.2353515625
296,8394.26953125
297,8750.1484375
298,8539.78515625
299,8496.4609375
300,8626.4755859375
301,8607.9892578125
302,8348.4580078125
303,8526.6689453125
304,8384.1728515625
305,8473.634765625
306,8265.1953125
307,8491.2919921875
308,8320.896484375
309,8572.2587890625
310,8234.4453125
311,8511.103515625
312,8413.171875
313,8418.1142578125
314,8480.921875
315,8424.412109375
316,8579.6455078125
317,8402.7255859375
318,8391.7080078125
319,8705.8447265625
320,8601.1162109375
321,8436.88671875
322,8550.427734375
323,8569.93359375
324,8674.78515625
325,8416.802734375
326,8492.1376953125
327,8518.548828125
328,8322.8740234375
329,8593.40625
330,8256.796875
331,8448.5341796875
332,8575.7470703125
333,8496.775390625
334,8737.4638671875
335,8531.1298828125
336,8522.3330078125
337,8152.68017578125
338,8523.2265625
339,8312.0908203125
340,8535.716796875
341,8437.24609375
342,8267.9013671875
343,8385.501953125
344,8292.134765625
345,8424.2685546875
346,8457.15625
347,8534.1923828125
348,8535.3369140625
349,8292.0458984375
350,8497.7373046875
351,8441.0322265625
352,8551.2509765625
